symbol,test_start_date,horizon,model_count,models_used,backtests_used,previous_trading_date,previous_close_before_test_start,test_end_date,ensemble_return_pct_pred,ensemble_return_pct_actual,ensemble_close_actual,ensemble_loss_probability,ensemble_confidence_no_loss,ensemble_count_pred_positive,ensemble_count_pred_positive_w_actual_positive,ensemble_buy_profit_pct
SQQQ,2026-01-06,7,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-05,67.36000061035156,2026-01-16,-0.004834705421745643,-0.0062351271546866,66.94000244140625,0.3877308899657742,0.6122691100342258,0,0,
SQQQ,2026-01-06,9,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-05,67.36000061035156,2026-01-16,0.020154474408734,-0.0115795542195558,66.58000183105469,0.3540990060234714,0.6459009939765286,1,0,0.0
TQQQ,2026-01-02,3,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2025-12-31,52.720001220703125,2026-01-14,0.022158144494875485,0.0434369697990597,55.0099983215332,0.5278507641517908,0.4721492358482092,1,1,1.0
TQQQ,2026-01-02,5,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2025-12-31,52.720001220703125,2026-01-14,0.03969839472303451,0.0278831064485747,54.18999862670898,0.34653044271469685,0.6534695572853031,1,1,1.0
TQQQ,2026-01-02,7,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2025-12-31,52.720001220703125,2026-01-14,0.043417165322297946,0.0601289471840993,55.88999938964844,0.4750163832496638,0.5249836167503362,1,1,1.0
TQQQ,2026-01-02,9,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2025-12-31,52.720001220703125,2026-01-14,0.03062379175693644,0.0210546393143038,53.83000183105469,0.46220172166263523,0.5377982783373647,1,1,1.0
TQQQ,2026-01-05,3,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-02,52.34999847412109,2026-01-15,0.041832931293255285,0.0538681905830096,55.16999816894531,0.5246346848295358,0.4753653151704642,1,1,1.0
TQQQ,2026-01-05,5,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-02,52.34999847412109,2026-01-15,0.033239812471058346,0.0651384899103257,55.7599983215332,0.3780935457365473,0.6219064542634527,1,1,1.0
TQQQ,2026-01-05,7,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-02,52.34999847412109,2026-01-15,0.03585744261024921,0.062082141255584,55.59999847412109,0.4520053121027262,0.5479946878972738,1,1,1.0
TQQQ,2026-01-05,9,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-02,52.34999847412109,2026-01-15,0.0115294000335113,0.0387775100890912,54.380001068115234,0.5063799199914238,0.49362008000857616,1,1,1.0
TQQQ,2026-01-06,3,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-05,53.59999847412109,2026-01-16,0.014886596225133842,0.0110074658467154,54.18999862670898,0.5034005254610558,0.49659947453894415,1,1,1.0
TQQQ,2026-01-06,5,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-05,53.59999847412109,2026-01-16,0.017598005874405027,0.0427238988940081,55.88999938964844,0.42671417104989356,0.5732858289501064,1,1,1.0
TQQQ,2026-01-06,7,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-05,53.59999847412109,2026-01-16,0.01246245820478657,0.0042911075276361,53.83000183105469,0.5827703074097673,0.4172296925902327,1,1,1.0
TQQQ,2026-01-06,9,7,"CatBoost,ElasticNet,ExtraTrees,LightGBM,RandomForest,Ridge,XGBoost","cat_100trees_depth3_lr003_l2_3,elasticnet_alpha0001_l1_01_logreg_C001,et_100trees_depth8_leaf1_sqrt,lgbm_100trees_depth3_lr003_leaves7_child20_sub08_col08,rf_100trees_depth8_leaf1_sqrt,ridge_alpha001_logreg_C001,xgb_100trees_depth3_lr003_child1_sub08_col08",2026-01-05,53.59999847412109,2026-01-16,-0.013780086334903014,0.0100746442332095,54.13999938964844,0.5582503353026577,0.44174966469734234,0,0,
