model_family,total_rows,model_on_days,model_off_days,model_on_precision,model_off_precision,precision_lift,avg_return_when_on,worst_return_when_on
ExtraTrees,3264,1579,1685,0.6022799240025333,0.39465875370919884,0.20762117029333443,0.008457197098846285,-0.1356519514851722
ElasticNet,2040,938,1102,0.5980810234541578,0.4074410163339383,0.1906400071202195,0.008403331071299584,-0.1464293779989501
RandomForest,1632,827,805,0.5646916565900847,0.4236024844720497,0.141089172118035,0.007065093524956278,-0.1464293779989501
LightGBM,1224,640,584,0.534375,0.4520547945205479,0.08232020547945212,0.003066659938567803,-0.1464293779989501
XGBoost,1836,938,898,0.5191897654584222,0.46993318485523383,0.04925658060318838,-4.6680503209159034e-05,-0.1464293779989501
CatBoost,1428,662,766,0.5166163141993958,0.4765013054830287,0.040115008716367084,0.0002178488352092752,-0.1464293779989501
Ridge,2040,1003,1037,0.44865403788634095,0.5400192864030858,-0.09136524851674488,-0.009418026559406918,-0.1464293779989501
