run_timestamp,model_name,backtest_name,symbol,horizon,model_component,importance_type,feature_name,avg_raw_importance,median_raw_importance,max_raw_importance,avg_normalized_importance,median_normalized_importance,max_normalized_importance,avg_rank,best_rank,times_ranked,times_top_5,times_top_10,avg_return_pct_pred_when_ranked,avg_return_pct_actual_when_ranked,avg_loss_probability_when_ranked,buy_signal_count_when_ranked
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_slope_14,0.0138604532127457,0.0150030112942059,0.0167278874162428,0.0138604532127457,0.0150030112942059,0.0167278874162428,20.125,11,8,0,0,-0.0053127014703495,-0.0411388029030753,0.4643528083340471,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_47_ratio,0.0137985123358759,0.0137985123358759,0.0137985123358759,0.0137985123358759,0.0137985123358759,0.0137985123358759,18.0,18,1,0,0,-0.007244037983431,0.0265957434473591,0.5116684029658897,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_volatility_10d,0.0135567847753623,0.0136700814827483,0.0184607075255776,0.0135567847753623,0.0136700814827483,0.0184607075255776,20.4,9,20,0,3,-0.01132923339154,0.0051011997636487,0.5283885850387184,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_48_ratio,0.0135300357332986,0.0138799749543805,0.0162556983452587,0.0135300357332986,0.0138799749543805,0.0162556983452587,18.27777777777778,12,18,0,0,-0.0124527784792615,0.0157556718590638,0.5394924001198966,2
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_ratio_14,0.0132803122535057,0.0127044180226581,0.0202815850208609,0.0132803122535057,0.0127044180226581,0.0202815850208609,23.77777777777778,11,18,0,0,-0.011699699849668,0.0104798293432796,0.5391206725932529,2
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_29_ratio,0.0132618978833655,0.012113500112108,0.0262437500504398,0.0132618978833655,0.012113500112108,0.0262437500504398,22.95,6,20,0,3,-0.01132923339154,0.0051011997636487,0.5283885850387184,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,is_up_day,0.0131960409569879,0.0136345764897254,0.0177066972851708,0.0131960409569879,0.0136345764897254,0.0177066972851708,20.066666666666663,12,15,0,0,-0.0116357665474674,-0.0119292664925556,0.5217210530137909,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_28_ratio,0.0130587383770629,0.0130587383770629,0.0130910957564229,0.0130587383770629,0.0130587383770629,0.0130910957564229,19.5,19,2,0,0,-0.0111500923407818,0.0687329236034063,0.565493954750327,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_25_ratio,0.0127292710248897,0.011523352446418,0.0219549781799123,0.0127292710248897,0.011523352446418,0.0219549781799123,27.0,9,12,0,2,-0.0169548730409987,0.0351994368259172,0.5808334423448706,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_40_ratio,0.0127260306577901,0.012635820630888,0.016322654279824,0.0127260306577901,0.012635820630888,0.016322654279824,20.1,11,20,0,0,-0.01132923339154,0.0051011997636487,0.5283885850387184,3
