run_timestamp,backtest_name,model_name,feature_1,feature_2,feature_3,feature_4,feature_5,n_estimators,max_depth,min_samples_leaf,random_state,symbol,training_start_date,training_end_date,test_start_date,test_end_date,previous_trading_date,previous_close_before_test_start,3d_return_pct_pred,3d_return_pct_actual,3d_close_actual,3d_confidence_no_loss,3d_loss_probability,3d_count_pred_positive,3d_count_pred_positive_w_actual_positive,3d_buy_profit_pct,5d_return_pct_pred,5d_return_pct_actual,5d_close_actual,5d_confidence_no_loss,5d_loss_probability,5d_count_pred_positive,5d_count_pred_positive_w_actual_positive,5d_buy_profit_pct,7d_return_pct_pred,7d_return_pct_actual,7d_close_actual,7d_confidence_no_loss,7d_loss_probability,7d_count_pred_positive,7d_count_pred_positive_w_actual_positive,7d_buy_profit_pct,9d_return_pct_pred,9d_return_pct_actual,9d_close_actual,9d_confidence_no_loss,9d_loss_probability,9d_count_pred_positive,9d_count_pred_positive_w_actual_positive,9d_buy_profit_pct,3d_return_pct_model_on_numerator,3d_return_pct_model_on_denominator,3d_return_pct_model_on,3d_return_pct_model_off_numerator,3d_return_pct_model_off_denominator,3d_return_pct_model_off,3d_profitable_model_on_numerator,3d_profitable_model_on_denominator,3d_profitable_model_on,3d_profitable_model_off_numerator,3d_profitable_model_off_denominator,3d_profitable_model_off,5d_return_pct_model_on_numerator,5d_return_pct_model_on_denominator,5d_return_pct_model_on,5d_return_pct_model_off_numerator,5d_return_pct_model_off_denominator,5d_return_pct_model_off,5d_profitable_model_on_numerator,5d_profitable_model_on_denominator,5d_profitable_model_on,5d_profitable_model_off_numerator,5d_profitable_model_off_denominator,5d_profitable_model_off,7d_return_pct_model_on_numerator,7d_return_pct_model_on_denominator,7d_return_pct_model_on,7d_return_pct_model_off_numerator,7d_return_pct_model_off_denominator,7d_return_pct_model_off,7d_profitable_model_on_numerator,7d_profitable_model_on_denominator,7d_profitable_model_on,7d_profitable_model_off_numerator,7d_profitable_model_off_denominator,7d_profitable_model_off,9d_return_pct_model_on_numerator,9d_return_pct_model_on_denominator,9d_return_pct_model_on,9d_return_pct_model_off_numerator,9d_return_pct_model_off_denominator,9d_return_pct_model_off,9d_profitable_model_on_numerator,9d_profitable_model_on_denominator,9d_profitable_model_on,9d_profitable_model_off_numerator,9d_profitable_model_off_denominator,9d_profitable_model_off,average_return_pct_model_on_numerator,average_return_pct_model_on_denominator,average_return_pct_model_on,average_return_pct_model_off_numerator,average_return_pct_model_off_denominator,average_return_pct_model_off,average_profitable_model_on_numerator,average_profitable_model_on_denominator,average_profitable_model_on,average_profitable_model_off_numerator,average_profitable_model_off_denominator,average_profitable_model_off,average_return_pct_pred,average_return_pct_actual,average_close_actual,average_confidence_no_loss,average_loss_probability,sum_count_pred_positive,sum_count_pred_positive_w_actual_positive,overall_buy_profit_pct
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,ma_7,ma_14,close_lag_3,low,close_lag_29,75,4,10,42,TQQQ,2025-04-30,2026-04-30,2026-05-01,2026-05-13,2026-04-30,63.540000915527344,0.0023043602293436,0.0605917283388055,67.38999938964844,0.3944537887068914,0.6055462112931086,1,1,1.0,0.0020545674787561,0.1227572444125852,71.33999633789062,0.4913791410603826,0.5086208589396174,1,1,1.0,-0.0075898578745972,0.2112055079568917,76.95999908447266,0.3415286703099169,0.658471329690083,0,0,,-0.0054641596436135,0.2156121616437418,77.23999786376953,0.374479948247314,0.625520051752686,0,0,,0.0605917283388055,1,0.0605917283388055,0.0605917283388055,1,0.0605917283388055,1,1,1.0,1,1,1.0,0.1227572444125852,1,0.1227572444125852,0.1227572444125852,1,0.1227572444125852,1,1,1.0,1,1,1.0,0.0,0,,0.2112055079568917,1,0.2112055079568917,0,0,,1,1,1.0,0.0,0,,0.2156121616437418,1,0.2156121616437418,0,0,,1,1,1.0,0.1833489727513908,2,0.0916744863756954,0.6101666423520244,4,0.1525416605880061,2,2,1.0,4,4,1.0,-0.0021737724525277,0.1525416605880061,73.23249816894531,0.4004603870811262,0.5995396129188737,2,2,1.0
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,low,ma_14,ma_7,close_lag_3,close_lag_29,75,4,10,42,TQQQ,2025-05-01,2026-05-01,2026-05-04,2026-05-14,2026-05-01,65.30000305175781,0.0054898956609532,0.0960183208275917,71.56999969482422,0.4431493602888213,0.5568506397111787,1,1,1.0,0.0030348413697398,0.1681469404960998,76.27999877929688,0.4933156014402833,0.5066843985597167,1,1,1.0,-0.0089987427852362,0.1479325510147093,74.95999908447266,0.3873946245616171,0.6126053754383829,0,0,,-0.005126703253056,0.2090351188140859,78.94999694824219,0.3985897345333933,0.6014102654666067,0,0,,0.0960183208275917,1,0.0960183208275917,0.0960183208275917,1,0.0960183208275917,1,1,1.0,1,1,1.0,0.1681469404960998,1,0.1681469404960998,0.1681469404960998,1,0.1681469404960998,1,1,1.0,1,1,1.0,0.0,0,,0.1479325510147093,1,0.1479325510147093,0,0,,1,1,1.0,0.0,0,,0.2090351188140859,1,0.2090351188140859,0,0,,1,1,1.0,0.2641652613236915,2,0.1320826306618457,0.6211329311524869,4,0.1552832327881217,2,2,1.0,4,4,1.0,-0.0014001772518998,0.1552832327881217,75.43999862670898,0.4306123302060288,0.5693876697939713,2,2,1.0
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,low,close_lag_29,ma_14,ma_7,close_lag_2,75,4,10,42,TQQQ,2025-05-04,2026-05-04,2026-05-05,2026-05-15,2026-05-04,64.91000366210938,0.004479398528378,0.0990601188262556,71.33999633789062,0.4338188265849271,0.5661811734150729,1,1,1.0,-0.0001578761766347,0.185641576683462,76.95999908447266,0.463905727377677,0.536094272622323,0,0,,-0.0032335099228689,0.1899552227087253,77.23999786376953,0.3863210115651942,0.6136789884348057,0,0,,0.0036695151099601,0.1606839021312467,75.33999633789062,0.4038527705985308,0.5961472294014691,1,1,1.0,0.0990601188262556,1,0.0990601188262556,0.0990601188262556,1,0.0990601188262556,1,1,1.0,1,1,1.0,0.0,0,,0.185641576683462,1,0.185641576683462,0,0,,1,1,1.0,0.0,0,,0.1899552227087253,1,0.1899552227087253,0,0,,1,1,1.0,0.1606839021312467,1,0.1606839021312467,0.1606839021312467,1,0.1606839021312467,1,1,1.0,1,1,1.0,0.2597440209575024,2,0.1298720104787512,0.6353408203496897,4,0.1588352050874224,2,2,1.0,4,4,1.0,0.0011893818847086,0.1588352050874224,75.21999740600586,0.4219745840315823,0.5780254159684177,2,2,1.0
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,low,close_lag_29,ma_7,ma_14,close_lag_2,75,4,10,42,TQQQ,2025-05-05,2026-05-05,2026-05-06,2026-05-18,2026-05-05,67.38999938964844,0.0105716403399106,0.1319186744348599,76.27999877929688,0.4633412134392132,0.5366587865607868,1,1,1.0,0.0117187769542868,0.1123312028993284,74.95999908447266,0.538970870401669,0.461029129598331,1,1,1.0,0.0013371809182725,0.1715387693024588,78.94999694824219,0.399237241606507,0.600762758393493,1,1,1.0,0.005061793603599,0.1028342538646807,74.31999969482422,0.4057403870914442,0.5942596129085558,1,1,1.0,0.1319186744348599,1,0.1319186744348599,0.1319186744348599,1,0.1319186744348599,1,1,1.0,1,1,1.0,0.1123312028993284,1,0.1123312028993284,0.1123312028993284,1,0.1123312028993284,1,1,1.0,1,1,1.0,0.1715387693024588,1,0.1715387693024588,0.1715387693024588,1,0.1715387693024588,1,1,1.0,1,1,1.0,0.1028342538646807,1,0.1028342538646807,0.1028342538646807,1,0.1028342538646807,1,1,1.0,1,1,1.0,0.5186229005013279,4,0.1296557251253319,0.5186229005013279,4,0.1296557251253319,4,4,1.0,4,4,1.0,0.0071723479540172,0.1296557251253319,76.12749862670898,0.4518224281347083,0.5481775718652917,4,4,1.0
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,close_lag_29,low,ma_7,ma_14,close_lag_6,75,4,10,42,TQQQ,2025-05-06,2026-05-06,2026-05-07,2026-05-19,2026-05-06,71.56999969482422,0.0135876500620558,0.0753108762418819,76.95999908447266,0.4903054073102474,0.5096945926897526,1,1,1.0,0.013656043321589,0.0792231129400906,77.23999786376953,0.5291371870733148,0.4708628129266852,1,1,1.0,0.0141435231429168,0.0526756554302325,75.33999633789062,0.4187350859446618,0.5812649140553382,1,1,1.0,0.0174461010225714,0.0190023839059749,72.93000030517578,0.4363293674026406,0.5636706325973594,1,1,1.0,0.0753108762418819,1,0.0753108762418819,0.0753108762418819,1,0.0753108762418819,1,1,1.0,1,1,1.0,0.0792231129400906,1,0.0792231129400906,0.0792231129400906,1,0.0792231129400906,1,1,1.0,1,1,1.0,0.0526756554302325,1,0.0526756554302325,0.0526756554302325,1,0.0526756554302325,1,1,1.0,1,1,1.0,0.0190023839059749,1,0.0190023839059749,0.0190023839059749,1,0.0190023839059749,1,1,1.0,1,1,1.0,0.2262120285181801,4,0.056553007129545,0.2262120285181801,4,0.056553007129545,4,4,1.0,4,4,1.0,0.0147083293872833,0.056553007129545,75.61749839782715,0.4686267619327161,0.5313732380672839,4,4,1.0
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,close_lag_29,close_lag_6,low,ma_7,high,75,4,10,42,TQQQ,2025-05-07,2026-05-07,2026-05-08,2026-05-20,2026-05-07,71.33999633789062,0.0159001714184103,0.0507429623270017,74.95999908447266,0.514171859044494,0.4858281409555059,1,1,1.0,0.0166201219081153,0.1066722876506469,78.94999694824219,0.5443860171574169,0.4556139828425832,1,1,1.0,0.0185981287739966,0.0417718462280161,74.31999969482422,0.5200110038736299,0.4799889961263702,1,1,1.0,0.020570491405082,0.0724699476273158,76.51000213623047,0.453373519607176,0.546626480392824,1,1,1.0,0.0507429623270017,1,0.0507429623270017,0.0507429623270017,1,0.0507429623270017,1,1,1.0,1,1,1.0,0.1066722876506469,1,0.1066722876506469,0.1066722876506469,1,0.1066722876506469,1,1,1.0,1,1,1.0,0.0417718462280161,1,0.0417718462280161,0.0417718462280161,1,0.0417718462280161,1,1,1.0,1,1,1.0,0.0724699476273158,1,0.0724699476273158,0.0724699476273158,1,0.0724699476273158,1,1,1.0,1,1,1.0,0.2716570438329806,4,0.0679142609582451,0.2716570438329806,4,0.0679142609582451,4,4,1.0,4,4,1.0,0.017922228376401,0.0679142609582451,76.18499946594238,0.5079855999206793,0.4920144000793208,4,4,1.0
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,close_lag_29,ma_14,close_lag_6,close_lag_30,low,75,4,10,42,TQQQ,2025-05-08,2026-05-08,2026-05-11,2026-05-21,2026-05-08,76.27999877929688,0.0197623409211821,0.0125852005746649,77.23999786376953,0.5064809922448077,0.4935190077551922,1,1,1.0,0.0282505838705404,-0.0123230526540251,75.33999633789062,0.601486401315376,0.3985135986846239,1,0,0.0,0.0151484108775297,-0.0439171280510076,72.93000030517578,0.5100312239151183,0.4899687760848816,1,0,0.0,0.0205163575711762,0.0087834056065447,76.94999694824219,0.4902130405863262,0.5097869594136738,1,1,1.0,0.0125852005746649,1,0.0125852005746649,0.0125852005746649,1,0.0125852005746649,1,1,1.0,1,1,1.0,-0.0123230526540251,1,-0.0123230526540251,-0.0123230526540251,1,-0.0123230526540251,0,1,0.0,0,1,0.0,-0.0439171280510076,1,-0.0439171280510076,-0.0439171280510076,1,-0.0439171280510076,0,1,0.0,0,1,0.0,0.0087834056065447,1,0.0087834056065447,0.0087834056065447,1,0.0087834056065447,1,1,1.0,1,1,1.0,-0.034871574523823,4,-0.0087178936309557,-0.034871574523823,4,-0.0087178936309557,2,4,0.5,2,4,0.5,0.0209194233101071,-0.0087178936309557,75.61499786376953,0.527052914515407,0.4729470854845928,4,2,0.5
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,close_lag_29,close_lag_30,ma_7,close_lag_25,close_lag_6,75,4,10,42,TQQQ,2025-05-11,2026-05-11,2026-05-12,2026-05-22,2026-05-11,76.95999908447266,0.022997509423937,0.0258575609075213,78.94999694824219,0.5073698979543629,0.492630102045637,1,1,1.0,0.0341700738386617,-0.0343035267808504,74.31999969482422,0.5997854745179847,0.4002145254820153,1,0,0.0,0.0277932634290171,-0.0058471537629342,76.51000213623047,0.4995828608969862,0.5004171391030138,1,0,0.0,0.0292319684653031,0.0114344758821016,77.83999633789062,0.5070705701855388,0.4929294298144612,1,1,1.0,0.0258575609075213,1,0.0258575609075213,0.0258575609075213,1,0.0258575609075213,1,1,1.0,1,1,1.0,-0.0343035267808504,1,-0.0343035267808504,-0.0343035267808504,1,-0.0343035267808504,0,1,0.0,0,1,0.0,-0.0058471537629342,1,-0.0058471537629342,-0.0058471537629342,1,-0.0058471537629342,0,1,0.0,0,1,0.0,0.0114344758821016,1,0.0114344758821016,0.0114344758821016,1,0.0114344758821016,1,1,1.0,1,1,1.0,-0.0028586437541616,4,-0.0007146609385404,-0.0028586437541616,4,-0.0007146609385404,2,4,0.5,2,4,0.5,0.0285482037892297,-0.0007146609385404,76.90499877929688,0.5284522008887182,0.4715477991112818,4,2,0.5
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,close_lag_29,close_lag_30,ma_7,low,close_lag_6,75,4,10,42,TQQQ,2025-05-12,2026-05-12,2026-05-13,2026-05-26,2026-05-12,74.95999908447266,0.0288025022548464,0.0050693337521221,75.33999633789062,0.5502404785594689,0.4497595214405311,1,1,1.0,0.0437799038479077,-0.0270810939713227,72.93000030517578,0.5917551174037083,0.4082448825962916,1,0,0.0,0.0309823311183526,0.0265474638216978,76.94999694824219,0.4941809370143537,0.5058190629856463,1,1,1.0,0.0298622404138976,0.0932497058316728,81.94999694824219,0.5038230876367253,0.4961769123632746,1,1,1.0,0.0050693337521221,1,0.0050693337521221,0.0050693337521221,1,0.0050693337521221,1,1,1.0,1,1,1.0,-0.0270810939713227,1,-0.0270810939713227,-0.0270810939713227,1,-0.0270810939713227,0,1,0.0,0,1,0.0,0.0265474638216978,1,0.0265474638216978,0.0265474638216978,1,0.0265474638216978,1,1,1.0,1,1,1.0,0.0932497058316728,1,0.0932497058316728,0.0932497058316728,1,0.0932497058316728,1,1,1.0,1,1,1.0,0.09778540943417,4,0.0244463523585425,0.09778540943417,4,0.0244463523585425,3,4,0.75,3,4,0.75,0.033356744408751,0.0244463523585425,76.7924976348877,0.5349999051535641,0.4650000948464359,4,3,0.75
2026-06-22_09-12-38,et_75trees_depth4_leaf10_sqrt,ExtraTrees,close_lag_29,close_lag_30,close_lag_28,close_lag_25,close,75,4,10,42,TQQQ,2025-05-13,2026-05-13,2026-05-14,2026-05-27,2026-05-13,77.23999786376953,0.0298467805597559,-0.0378042238439131,74.31999969482422,0.5648643452072072,0.4351356547927928,1,0,0.0,0.032779993045868,-0.0094510065733892,76.51000213623047,0.5617479720763905,0.4382520279236094,1,0,0.0,0.0381758719984866,0.0077679763168732,77.83999633789062,0.521360569111,0.4786394308889999,1,1,1.0,0.040389850041348,0.057353708281933,81.66999816894531,0.4864519302678798,0.5135480697321202,1,1,1.0,-0.0378042238439131,1,-0.0378042238439131,-0.0378042238439131,1,-0.0378042238439131,0,1,0.0,0,1,0.0,-0.0094510065733892,1,-0.0094510065733892,-0.0094510065733892,1,-0.0094510065733892,0,1,0.0,0,1,0.0,0.0077679763168732,1,0.0077679763168732,0.0077679763168732,1,0.0077679763168732,1,1,1.0,1,1,1.0,0.057353708281933,1,0.057353708281933,0.057353708281933,1,0.057353708281933,1,1,1.0,1,1,1.0,0.0178664541815039,4,0.0044666135453759,0.0178664541815039,4,0.0044666135453759,2,4,0.5,2,4,0.5,0.0352981239113646,0.0044666135453759,77.58499908447266,0.5336062041656194,0.4663937958343805,4,2,0.5
